SNo,ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
279,01/28/2020,Fujian,Mainland China,2020/01/28 23:00,80,0,0
280,01/28/2020,Jiangsu,Mainland China,2020/01/28 23:00,70,0,1
281,01/28/2020,Shanghai,Mainland China,2020/01/28 23:00,66,1,4
282,01/28/2020,Guangxi,Mainland China,2020/01/28 23:00,51,0,2
283,01/28/2020,Shaanxi,Mainland China,2020/01/28 23:00,46,0,0
284,01/28/2020,Yunnan,Mainland China,2020/01/28 23:00,44,0,0
285,01/28/2020,Hainan,Mainland China,2020/01/28 23:00,40,1,0
286,01/28/2020,Liaoning,Mainland China,2020/01/28 23:00,34,0,0
287,01/28/2020,Hebei,Mainland China,2020/01/28 23:00,33,1,0
288,01/28/2020,Heilongjiang,Mainland China,2020/01/28 23:00,33,1,0
289,01/28/2020,Shanxi,Mainland China,2020/01/28 23:00,27,0,0
290,01/28/2020,Tianjin,Mainland China,2020/01/28 23:00,24,0,0
291,01/28/2020,Gansu,Mainland China,2020/01/28 23:00,19,0,0
292,01/28/2020,Inner Mongolia,Mainland China,2020/01/28 23:00,15,0,0
293,01/28/2020,Ningxia,Mainland China,2020/01/28 23:00,11,0,0
294,01/28/2020,Xinjiang,Mainland China,2020/01/28 23:00,10,0,0
295,01/28/2020,Guizhou,Mainland China,2020/01/28 23:00,9,0,0
296,01/28/2020,Jilin,Mainland China,2020/01/28 23:00,8,0,0
297,01/28/2020,Taiwan,Taiwan,2020/01/28 23:00,8,0,0
298,01/28/2020,Hong Kong,Hong Kong,2020/01/28 23:00,8,0,0
299,01/28/2020,Macau,Macau,2020/01/28 23:00,7,0,0
300,01/28/2020,Qinghai,Mainland China,2020/01/28 23:00,6,0,0
301,01/28/2020,Washington,US,2020/01/28 23:00,1,0,0
302,01/28/2020,Illinois,US,2020/01/28 23:00,1,0,0
303,01/28/2020,California,US,2020/01/28 23:00,2,0,0
304,01/28/2020,Arizona,US,2020/01/28 23:00,1,0,0
305,01/28/2020,,Japan,2020/01/28 23:00,7,0,1
306,01/28/2020,,Thailand,2020/01/28 23:00,14,0,5
307,01/28/2020,,South Korea,2020/01/28 23:00,4,0,0
308,01/28/2020,,Singapore,2020/01/28 23:00,7,0,0
309,01/28/2020,,Vietnam,2020/01/28 23:00,2,0,0
310,01/28/2020,,France,2020/01/28 23:00,4,0,0
311,01/28/2020,,Nepal,2020/01/28 23:00,1,0,0
312,01/28/2020,,Malaysia,2020/01/28 23:00,4,0,0
313,01/28/2020,Ontario,Canada,2020/01/28 23:00,1,0,0
314,01/28/2020,British Columbia,Canada,2020/01/28 23:00,1,0,0
315,01/28/2020,,Cambodia,2020/01/28 23:00,1,0,0
316,01/28/2020,,Sri Lanka,2020/01/28 23:00,1,0,0
317,01/28/2020,New South Wales,Australia,2020/01/28 23:00,4,0,0
318,01/28/2020,Victoria,Australia,2020/01/28 23:00,1,0,0
319,01/28/2020,Bavaria,Germany,2020/01/28 23:00,4,0,0
320,01/29/2020,Hubei,Mainland China,2020/01/29 19:30,3554,125,88
321,01/29/2020,Zhejiang,Mainland China,2020/01/29 19:30,296,0,3
